tier,brand,domain,focus,geo,source,list_count,notes,base_url,base_url_confidence,base_url_note,google_search_operator
3,Eats Amazing,eatsamazing.co.uk,Kids party food,UK,seed-lists,1,UK; strong for party food ideas.,https://www.eatsamazing.co.uk/category/family-friendly-recipes/party-food-ideas-recipes,high,Site is a kids' food blog; 'Party Food Ideas for Kids' category is the party-specific index.,site:eatsamazing.co.uk/category/family-friendly-recipes/party-food-ideas-recipes
3,Evite - Life of the Party,evite.com,Party ideas + invites,US,seed-lists,1,High-traffic but broad; lower idea density per page.,https://www.evite.com/blog/,high,"Main 'Evite Blog - Party Ideas, Planning Tips, DIYs & More' index above categories like inspiration-ideas and planning-budget.",site:evite.com/blog
3,Festive Fetti,festivefetti.com,Party styling,US,seed-lists,1,Styled parties.,https://www.festivefetti.com/blog,high,Section labeled 'Blog' (Party Inspiration for Birthdays and Celebrations).,site:festivefetti.com/blog
3,Fun365 (Oriental Trading),fun365.orientaltrading.com,Party + craft ideas,US,seed-lists,1,Retailer content hub.,https://www.fun365.orientaltrading.com/,high,"Entire site (Fun365) is the ideas/inspiration index for craft, party, wedding, classroom; homepage is the landing.","site:fun365.orientaltrading.com (""party ideas"" OR ""birthday party"" OR ""party theme"" OR ""party decorations"")"
3,HenBox,henbox.co.uk,Hen party ideas,UK,seed-lists,1,UK hen niche.,https://www.henbox.co.uk/category/hen-party-ideas/,high,'Hen Party Ideas' category archive - the broad post listing for the site's hen-party ideas content.,site:henbox.co.uk/category/hen-party-ideas
3,Henry Bonas,henrybonas.com,Luxury event company,UK,seed-lists,1,Event co site; thin blog.,https://www.henrybonas.com/journal/,high,"Blog section is called ""Journal""; search returned many live /journal/<slug> party-ideas posts under this index. Not fetched (host blocked by egress policy 403), confirmed via search.",site:henrybonas.com/journal
3,Homemade Parties,homemadeparties.ph,Party styling,PH,seed-lists,1,Philippines geo.,https://homemadeparties.ph/,high,"Whole site is the blog (""A DIY Party Inspirations Blog""); homepage lists posts with /page/N pagination. Not fetched (egress 403), confirmed via search.","site:homemadeparties.ph (""party ideas"" OR ""birthday party"" OR ""party theme"" OR ""party decorations"")"
3,Joy in the Commonplace,joyinthecommonplace.com,Party planning blog,US,seed-lists,1,One of the seed listers; also publishes ideas.,https://www.joyinthecommonplace.com/category/blog-posts/,high,"Broad ""Blog Archives"" all-posts category (narrower category pages like /category/party-themes/ also exist). Not fetched (egress 403), confirmed via search.",site:joyinthecommonplace.com/category/blog-posts
3,Little Big Company,littlebigco.blogspot.com,Party styling,AU,seed-lists,1,Blogspot; AU.,https://littlebigco.blogspot.com/,high,"Blogspot party-styling blog (""Little Big Company | The Blog""); homepage is the post listing. Appears dormant (posts 2012-2013) but resolves. Confirmed via search, not fetched (egress 403).","site:littlebigco.blogspot.com (""party ideas"" OR ""birthday party"" OR ""party theme"" OR ""party decorations"")"
3,Netmums,netmums.com,General parenting + parties,UK,seed-lists,1,Broad parenting; low party idea density.,https://www.netmums.com/activities/parties,low,Could not verify: host blocked by egress policy (403) and netmums.com results are filtered from WebSearch. base_url is a best-effort guess at the parties section; unconfirmed.,site:netmums.com/activities/parties
3,Parties for Pennies,partiesforpennies.com,Budget party ideas,US,seed-lists,1,Budget niche.,https://partiesforpennies.com/blog/,high,"Dedicated ""Blog"" index (broader than /party-ideas/). Not fetched (egress 403), confirmed via search.",site:partiesforpennies.com/blog
3,Party Magic PH,partymagic.ph,Party services,PH,seed-lists,1,Philippines geo.,https://www.partymagic.ph/blog/,high,"Section labeled ""BLOG"" listing party write-ups. Not fetched (egress 403), confirmed via search.",site:partymagic.ph/blog
3,Party Packs,partypacks.co.uk,Party supplies blog,UK,seed-lists,1,Supply retailer blog.,https://www.partypacks.co.uk/blogs/party-inspiration,high,"Shopify ""Party Inspiration Blog"" (/blogs/<handle>), broadest listing above the tagged sub-pages. Not fetched (egress 403), confirmed via search.",site:partypacks.co.uk/blogs/party-inspiration
3,Partymazing,partymazing.com,Party printables,US,seed-lists,1,Printable shop blog.,https://partymazing.com/blog/,high,"Section labeled ""Blog"" (site is printable party crafts/ideas). Not fetched (egress 403), confirmed via search.",site:partymazing.com/blog
3,Peekaboo Party Bags,peekaboopartybags.co.nz,Party supplies blog,NZ,seed-lists,1,New Zealand supply blog.,https://www.peekaboopartybags.co.nz/blog/,high,Section labeled 'Peekaboo Blog' (kids party tips/ideas). Blog index confirmed via search returning /blog/ landing plus many /blog/<slug> posts.,site:peekaboopartybags.co.nz/blog
3,Play Party Plan,playpartyplan.com,Party games + ideas,US,seed-lists,1,Strong for party games.,https://www.playpartyplan.com/,high,"Whole site is a party blog ('Party Games, Recipes, & Free Printables'); homepage is the post listing, the widest index. Narrower category exists at /category/parties/party-posts.","site:playpartyplan.com (""party ideas"" OR ""birthday party"" OR ""party theme"" OR ""party decorations"")"
3,Pop Parties,popparties.com,Party styling,US,seed-lists,1,Styled party features.,https://popparties.com/blog/,high,"Section labeled 'Pop Parties Blog' (real weddings, celebrations, event tips). /blog/ index confirmed via search.",site:popparties.com/blog
3,The Foxy Hen,thefoxyhen.com,Hen party ideas,UK,seed-lists,1,UK bachelorette/hen niche.,https://www.thefoxyhen.com/blog,high,'The Foxy Hen Blog' — broad /blog index (hen party ideas/advice). Narrower category at /blog/category/hen-party-ideas.,site:thefoxyhen.com/blog
3,The Hen Planner,thehenplanner.co.uk,Hen party ideas,UK,seed-lists,1,UK hen niche.,https://thehenplanner.co.uk/blogs/blog,high,Shopify blog 'Hen Party Blog - Ideas & Inspiration' at /blogs/blog; paginated (?page=N). Confirmed via search.,site:thehenplanner.co.uk/blogs/blog
3,The Party Muse,thepartymuseonline.com,Party planning,US,seed-lists,1,Planning tips.,https://thepartymuseonline.com/blog/,high,Section 'Birthday Party Ideas - Blog' (children's events). /blog/ index confirmed via search; individual posts under /YYYY/MM/slug.,site:thepartymuseonline.com/blog
3,The Party Noodles,thepartynoodles.com,Party ideas,US,seed-lists,1,Idea posts.,https://thepartynoodles.com/blog,medium,"WordPress site (kids party entertainer); posts live at root-level slugs (/8-steps/, /cake-smash-dos-donts/). Search surfaced a 'Blog' page at /blog but it could not be directly fetched (proxy 429) to confirm it lists all posts.",site:thepartynoodles.com/blog
